title,product_url,price_gbp,availability_text,rating_text
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,In stock (22 available),Three
Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,In stock (20 available),One
Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,50.1,In stock (20 available),One
Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,In stock (20 available),Four
Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,In stock (20 available),Five
The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,In stock (19 available),One
The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,In stock (19 available),Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,In stock (19 available),Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,In stock (19 available),Four
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,In stock (19 available),One
"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock (19 available),Two
Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,20.66,In stock (19 available),Four
Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,17.46,In stock (19 available),Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock (19 available),Five
Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,35.02,In stock (19 available),Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock (19 available),Three
Olio,https://books.toscrape.com/catalogue/olio_984/index.html,23.88,In stock (19 available),One
Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock (19 available),One
Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,51.33,In stock (19 available),Two
It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,45.17,In stock (19 available),Two
In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,12.84,In stock (19 available),One
How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html,37.32,In stock (19 available),Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,In stock (19 available),Three
Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,25.27,In stock (19 available),Five
Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html,34.53,In stock (19 available),Five
Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,54.64,In stock (19 available),Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,In stock (19 available),Three
Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,53.13,In stock (19 available),Three
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,In stock (18 available),Five
Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,44.18,In stock (18 available),Four
The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,In stock (18 available),Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,In stock (18 available),Three
The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,23.82,In stock (18 available),Five
The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,36.89,In stock (18 available),One
Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html,15.94,In stock (18 available),Five
Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,33.29,In stock (18 available),Three
Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,In stock (18 available),Two
"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19.63,In stock (18 available),One
Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,52.22,In stock (18 available),Four
You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,33.63,In stock (17 available),Two
Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,57.31,In stock (17 available),Three
Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,26.41,In stock (17 available),Two
Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,47.61,In stock (17 available),Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,In stock (17 available),Five
Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,45.07,In stock (16 available),Two
When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,31.77,In stock (16 available),One
"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,50.27,In stock (16 available),Five
Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,14.27,In stock (16 available),Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,In stock (16 available),Four
Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,18.78,In stock (16 available),Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,In stock (16 available),One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,In stock (16 available),One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,In stock (16 available),Three
This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,19.49,In stock (16 available),Four
Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,17.27,In stock (16 available),Five
The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,19.09,In stock (16 available),One
The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,56.13,In stock (16 available),One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,In stock (16 available),One
The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,56.5,In stock (16 available),Four
The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,In stock (16 available),Three
